col_0,col_1
222.0,-1570.0
-38.0,-1371.0
113.0,-1527.0
88.0,-1450.0
83.0,-1401.0
75.0,-1200.0
-44.0,-817.0
-14.0,-888.0
-183.0,-853.0
-183.0,-853.0
-775.0,-490.0
-518.0,-1060.0
-3.0,-686.0
-144.0,-1316.0
-396.0,-1155.0
255.0,-698.0
117.0,-1243.0
14.0,-1459.0
-327.0,-932.0
77.0,-1684.0
-220.0,-1057.0
-200.0,-1014.0
232.0,-1088.0
-175.0,-183.0
-175.0,-183.0
-696.0,27.0
-1299.0,250.0
-993.0,94.0
-1155.0,515.0
-375.0,-287.0
66.0,-101.0
99.0,-114.0
-368.0,314.0
-319.0,-14.0
95.0,-177.0
117.0,-33.0
61.0,-165.0
23.0,-379.0
-750.0,204.0
-989.0,876.0
-323.0,-46.0
-716.0,-128.0
-779.0,171.0
-1328.0,-5.0
-676.0,-69.0
-417.0,-77.0
-1097.0,-259.0
-939.0,17.0
-400.0,-238.0
-514.0,-399.0
-107.0,-93.0
87.0,-604.0
4.0,-252.0
-77.0,-510.0
-461.0,-265.0
-514.0,-134.0
-52.0,-630.0
182.0,-944.0
182.0,-1080.0
-497.0,-235.0
-281.0,-885.0
275.0,-791.0
-128.0,-593.0
-16.0,-748.0
-158.0,-1131.0
165.0,-1289.0
128.0,-868.0
-6.0,-912.0
-375.0,-1071.0
-257.0,-1221.0
70.0,-991.0
-1191.0,40.0
-265.0,-124.0
-530.0,-516.0
-1269.0,-796.0
-255.0,-1198.0
-586.0,-859.0
-361.0,-925.0
-721.0,-734.0
-1069.0,-783.0
-83.0,-820.0
-512.0,-517.0
-669.0,-442.0
-623.0,-41.0
-446.0,-247.0
182.0,-159.0
-248.0,42.0
-209.0,-322.0
-106.0,-563.0
1315.0,-1261.0
1161.0,-1175.0
2315.0,-1302.0
2881.0,-1924.0
3471.0,-1709.0
5416.0,-1939.0
6345.0,-1121.0
6998.0,-522.0
8950.0,30.0
10195.0,-128.0
13051.0,-129.0
14918.0,-197.0
20449.0,-1176.0
22831.0,-1321.0
27150.0,-1656.0
31648.0,-1956.0
37253.0,-2329.0
44912.0,-2999.0
50680.0,-2918.0
56965.0,-1447.0
64607.0,-1105.0
73170.0,-64.0
84839.0,1222.0
96239.0,2387.0
106351.0,1558.0
120725.0,323.0
130283.0,-1028.0
139195.0,-2318.0
145663.0,-2486.0
154754.0,-1739.0
161961.0,-1601.0
165439.0,-15.0
168395.0,-518.0
170063.0,1063.0
170246.0,1456.0
170682.0,885.0
170685.0,1284.0
170667.0,1423.0
169179.0,2867.0
170257.0,2599.0
170527.0,2708.0
170411.0,2969.0
170301.0,3672.0
167984.0,1102.0
164923.0,994.0
162201.0,1397.0
158939.0,-325.0
153982.0,-333.0
145855.0,-1015.0
135690.0,469.0
127973.0,-627.0
117719.0,-1390.0
106710.0,-203.0
95941.0,-1631.0
83526.0,-284.0
74099.0,-520.0
64414.0,-458.0
54133.0,-864.0
48628.0,38.0
43244.0,694.0
37470.0,1661.0
31766.0,1856.0
26124.0,872.0
22572.0,-352.0
18863.0,-293.0
17025.0,-438.0
14100.0,-462.0
10568.0,-319.0
9122.0,-143.0
7978.0,-304.0
7057.0,-740.0
4640.0,-314.0
3026.0,-350.0
2954.0,-693.0
3619.0,-951.0
2957.0,-820.0
2058.0,-732.0
2014.0,-409.0
2070.0,-479.0
937.0,-481.0
1182.0,-893.0
1697.0,-334.0
1675.0,-644.0
1154.0,-856.0
1184.0,-641.0
1475.0,-636.0
1718.0,-881.0
966.0,-466.0
1458.0,-622.0
1674.0,-966.0
1110.0,-51.0
988.0,-194.0
766.0,13.0
384.0,367.0
655.0,-363.0
797.0,-263.0
1096.0,-113.0
1966.0,-208.0
859.0,-69.0
1132.0,-628.0
997.0,-188.0
1261.0,30.0
1321.0,-628.0
1131.0,-500.0
794.0,283.0
502.0,-48.0
1079.0,-113.0
1143.0,-44.0
803.0,-91.0
330.0,61.0
408.0,-68.0
255.0,84.0
101.0,240.0
523.0,-3.0
659.0,207.0
388.0,125.0
297.0,280.0
-77.0,370.0
-276.0,471.0
394.0,239.0
540.0,302.0
424.0,143.0
599.0,-400.0
71.0,229.0
71.0,229.0
392.0,-82.0
985.0,-165.0
954.0,-225.0
953.0,-639.0
840.0,-843.0
386.0,-1140.0
238.0,-403.0
673.0,-453.0
632.0,-483.0
425.0,-467.0
284.0,-723.0
84.0,-599.0
-14.0,-579.0
5.0,-371.0
121.0,-454.0
460.0,-600.0
252.0,-756.0
253.0,-230.0
102.0,-551.0
-53.0,-238.0
455.0,-436.0
-649.0,-225.0
-42.0,-541.0
83.0,-822.0
251.0,-910.0
-149.0,-691.0
172.0,-934.0
-419.0,-584.0
-388.0,-484.0
-684.0,-703.0
-450.0,-819.0
-315.0,-896.0
-315.0,-896.0
-387.0,-1070.0
-378.0,-878.0
-658.0,-955.0
-985.0,-282.0
-813.0,-698.0
-66.0,-543.0
-354.0,-1130.0
-197.0,-990.0
