col_0,col_1
-7210.0,22140.0
-51052.0,21876.0
-25043.0,3662.0
-49843.0,-14785.0
-23444.0,45870.0
-18976.0,4008.0
52582.0,-12225.0
-20839.0,48789.0
52376.0,12417.0
-42841.0,35194.0
-19384.0,7809.0
50763.0,17235.0
20508.0,-3365.0
-10615.0,53269.0
39555.0,42265.0
51755.0,11227.0
-18344.0,2664.0
37248.0,42025.0
-16118.0,51075.0
-45055.0,35139.0
2117.0,23194.0
-53749.0,9422.0
48433.0,-11186.0
-8758.0,-52840.0
24368.0,479.0
-7571.0,-30891.0
-14169.0,-54710.0
4143.0,22076.0
880.0,-22330.0
-24550.0,-7681.0
52982.0,8489.0
-15132.0,-52127.0
36002.0,40045.0
18638.0,-5161.0
13095.0,50853.0
54095.0,16555.0
-42148.0,-38681.0
-38353.0,33753.0
-54089.0,10135.0
2942.0,-7218.0
-6938.0,-36340.0
21203.0,-49598.0
5586.0,19221.0
19993.0,2958.0
52991.0,8446.0
41171.0,39489.0
-16762.0,-54167.0
-41003.0,-37536.0
-20697.0,3663.0
19014.0,-3452.0
24611.0,-3018.0
-56379.0,-12179.0
40241.0,38669.0
40553.0,38938.0
-3472.0,16497.0
43389.0,-32841.0
-30744.0,-43763.0
38624.0,14323.0
46938.0,-31572.0
6359.0,53210.0
-16966.0,-53893.0
54506.0,19845.0
-13902.0,-54227.0
-55621.0,13304.0
49389.0,18969.0
17670.0,53959.0
1354.0,22710.0
20684.0,6508.0
7887.0,23348.0
21606.0,1687.0
49515.0,-18662.0
15698.0,-49287.0
40554.0,38814.0
53534.0,12596.0
-14121.0,-52308.0
-16517.0,3893.0
28240.0,-42130.0
18358.0,2402.0
35444.0,40535.0
-23312.0,7648.0
14188.0,51825.0
8821.0,-48002.0
-39828.0,-39684.0
-6333.0,29814.0
54111.0,-15649.0
-46861.0,-20541.0
-14616.0,-48481.0
-14965.0,47688.0
-17006.0,4785.0
16094.0,-48756.0
47061.0,-15953.0
1288.0,-19347.0
-39150.0,32587.0
37410.0,37853.0
35632.0,41641.0
38504.0,-33780.0
33293.0,44037.0
39831.0,39079.0
51125.0,-17560.0
10858.0,-53277.0
-17702.0,-50418.0
-46805.0,9602.0
-35749.0,-39635.0
52710.0,-3988.0
13222.0,46060.0
1810.0,35867.0
31919.0,-39232.0
53120.0,-15491.0
-53928.0,13715.0
8113.0,57057.0
5234.0,23486.0
-55979.0,-5862.0
21281.0,-48311.0
-17392.0,45327.0
51198.0,19030.0
-52733.0,11533.0
13974.0,-16691.0
46793.0,22293.0
5949.0,-20303.0
18913.0,854.0
-16795.0,1330.0
35864.0,-39162.0
526.0,-26487.0
12581.0,-51140.0
-50247.0,-15827.0
-15051.0,51372.0
6949.0,-20318.0
-51391.0,-14090.0
36392.0,41354.0
-12863.0,52706.0
54904.0,-10353.0
-27482.0,3950.0
4220.0,-20657.0
-4019.0,18018.0
40315.0,38039.0
-21690.0,49854.0
11966.0,53630.0
-36831.0,29593.0
22625.0,-1296.0
50563.0,-15416.0
53527.0,-12607.0
-22771.0,-537.0
36585.0,-33910.0
-36562.0,36797.0
14345.0,54341.0
-1945.0,-18701.0
13580.0,54268.0
2688.0,-22681.0
-40719.0,35143.0
-36714.0,40821.0
-3619.0,-19459.0
-39080.0,-37352.0
-40228.0,-37268.0
-12923.0,45288.0
-15557.0,-54261.0
-21378.0,-2159.0
-6151.0,-54942.0
28541.0,30764.0
52277.0,-3085.0
-17747.0,50482.0
11596.0,-53002.0
51031.0,18820.0
37691.0,-36922.0
-120.0,-18639.0
-54422.0,10765.0
-6824.0,-19896.0
-52346.0,14466.0
-45504.0,-33767.0
-343.0,28721.0
-44236.0,-39479.0
48865.0,-12773.0
-36667.0,44539.0
48322.0,-15505.0
-52402.0,-15614.0
3386.0,26063.0
49624.0,-19449.0
-20983.0,-52732.0
3871.0,35276.0
-52989.0,-17221.0
29839.0,40359.0
42856.0,-34986.0
12309.0,53285.0
-18706.0,-8314.0
-30106.0,6665.0
22566.0,-5994.0
-40747.0,-32399.0
34006.0,-37384.0
-1592.0,20947.0
-52682.0,15800.0
37422.0,39019.0
20313.0,-7488.0
-33566.0,38500.0
-36694.0,-38777.0
-53926.0,7218.0
-39903.0,34967.0
13011.0,50419.0
-6895.0,52976.0
-23146.0,49775.0
-39600.0,36101.0
-37604.0,36631.0
10670.0,-53481.0
-17599.0,-52780.0
-37236.0,35532.0
-17805.0,51008.0
-12738.0,50661.0
34345.0,41963.0
-39880.0,-43008.0
-18995.0,-57515.0
-23926.0,3227.0
-22747.0,-4081.0
-847.0,-22709.0
-36586.0,35476.0
39553.0,-34761.0
-9729.0,-56430.0
-14249.0,50529.0
14752.0,-52194.0
-47788.0,-11367.0
28443.0,2788.0
55158.0,-14993.0
-5472.0,-27853.0
-21020.0,5303.0
-2087.0,-23837.0
-51600.0,-16826.0
2616.0,-26232.0
-9532.0,-53263.0
12814.0,-50335.0
21059.0,-1631.0
12798.0,55282.0
-36249.0,-42072.0
52014.0,7978.0
39926.0,41673.0
-52804.0,14693.0
51238.0,-10331.0
23459.0,-5540.0
-14204.0,52369.0
-13765.0,-53214.0
54382.0,18096.0
17769.0,1650.0
-1505.0,-23629.0
-53494.0,15300.0
-38090.0,36811.0
36853.0,-42026.0
-17073.0,-53459.0
-36167.0,41410.0
42402.0,35549.0
22439.0,-2825.0
56278.0,11962.0
12501.0,-53625.0
-19425.0,-1305.0
53296.0,16234.0
51571.0,13132.0
42945.0,36707.0
9553.0,-53075.0
-9457.0,53013.0
-2632.0,-22512.0
18522.0,-54111.0
12893.0,-53723.0
-38055.0,-39301.0
-1035.0,22574.0
-19785.0,-939.0
26100.0,-805.0
-35096.0,-38282.0
-41874.0,-44194.0
34307.0,42206.0
16243.0,50770.0
-7920.0,50966.0
12772.0,-52397.0
36443.0,-42553.0
16740.0,-51571.0
-38855.0,35776.0
20760.0,-4089.0
-52973.0,12771.0
-15826.0,-53706.0
-4763.0,-25873.0
-52414.0,-19459.0
-53873.0,10784.0
36200.0,-38166.0
16540.0,-55167.0
13789.0,-52484.0
-53066.0,-15522.0
-14897.0,281.0
16409.0,-4414.0
15972.0,-53031.0
9230.0,-54501.0
-3037.0,-23205.0
18079.0,51430.0
-1326.0,-21311.0
5820.0,-27155.0
-6452.0,52757.0
52943.0,17769.0
-41870.0,35096.0
-56814.0,-15910.0
-52318.0,15831.0
50808.0,-15911.0
-11324.0,-51669.0
-36928.0,-42610.0
-51798.0,16778.0
-37781.0,-39665.0
1574.0,30838.0
48948.0,-18307.0
36090.0,37768.0
-41215.0,28853.0
17897.0,-47668.0
-17070.0,47646.0
18757.0,-51612.0
-54236.0,-18122.0
-34393.0,42548.0
34630.0,-43983.0
2649.0,-20983.0
54314.0,-10375.0
-556.0,-52893.0
-39768.0,-40899.0
-55249.0,2920.0
-50051.0,31430.0
-7984.0,-53988.0
-50740.0,-14952.0
-32493.0,-44411.0
49820.0,-7868.0
-9755.0,50711.0
-2665.0,27442.0
-55282.0,-17329.0
-2596.0,21834.0
19277.0,54253.0
48913.0,-16034.0
-1696.0,-26593.0
16113.0,53421.0
-39905.0,40948.0
51177.0,-15557.0
13596.0,-53766.0
-14943.0,-53836.0
43370.0,40705.0
6669.0,17819.0
-22813.0,1229.0
38737.0,41066.0
-17197.0,48713.0
24780.0,5349.0
15228.0,55131.0
-1758.0,-17735.0
18995.0,-4293.0
-30535.0,45530.0
8176.0,-52916.0
-1698.0,-27658.0
14285.0,52487.0
-53652.0,-15028.0
-7881.0,54500.0
-1553.0,-25332.0
-54230.0,11541.0
-14056.0,52768.0
35180.0,-41283.0
-51275.0,11169.0
4308.0,26246.0
22890.0,-2474.0
14383.0,5365.0
-7310.0,55207.0
87.0,-22566.0
25421.0,-2539.0
39068.0,-35801.0
53120.0,-11100.0
-50593.0,-13354.0
-19978.0,-526.0
-51193.0,-13886.0
41069.0,38532.0
12474.0,53922.0
11788.0,51012.0
19861.0,48375.0
-21570.0,-51416.0
2448.0,23975.0
4776.0,55448.0
-10704.0,-46512.0
-43620.0,32619.0
41882.0,38119.0
-46688.0,-18458.0
-36854.0,-7383.0
-26230.0,50193.0
-52245.0,-15372.0
-9860.0,56263.0
-18325.0,-78.0
-19351.0,49886.0
38559.0,36239.0
-40611.0,-37839.0
55787.0,15061.0
50302.0,-7030.0
-28854.0,37686.0
-12050.0,47759.0
-38362.0,-40633.0
24833.0,4234.0
27348.0,-1278.0
-52277.0,10409.0
33714.0,39417.0
-17256.0,48635.0
2318.0,30852.0
1904.0,22931.0
15855.0,-53925.0
-12870.0,-49260.0
-14093.0,49275.0
-16929.0,-53933.0
14655.0,-898.0
-30563.0,-47227.0
-28426.0,-2898.0
50531.0,17779.0
11158.0,19378.0
-52310.0,-15588.0
50469.0,15642.0
-52686.0,-10786.0
38512.0,-32819.0
-54382.0,10611.0
12761.0,-54217.0
47392.0,-13958.0
53023.0,-7803.0
49819.0,8177.0
-43545.0,32599.0
-50189.0,-13668.0
52401.0,-11394.0
40316.0,36138.0
4034.0,-14257.0
50474.0,16240.0
46465.0,-22509.0
-53917.0,18161.0
6272.0,52674.0
-52567.0,9436.0
47145.0,34138.0
-24342.0,-55161.0
-49900.0,10232.0
837.0,-13951.0
-12044.0,-56575.0
-28387.0,-7441.0
-47014.0,-10748.0
-3381.0,8355.0
53763.0,13788.0
-40796.0,-42334.0
54987.0,9316.0
-51410.0,-17755.0
26996.0,-48723.0
-57389.0,2608.0
54672.0,-12615.0
52239.0,12669.0
52490.0,-6268.0
22.0,15694.0
14272.0,-53454.0
1713.0,-20860.0
-50777.0,-11284.0
-38103.0,-46877.0
-18823.0,-52055.0
1633.0,24744.0
-13413.0,53700.0
35730.0,-37235.0
40046.0,-39445.0
35210.0,-39256.0
5356.0,-19759.0
-35318.0,-44485.0
